work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,1,2,Lead Data Engineer,125000,41,1,38,0
2021,2,2,Data Scientist,88654,14,1,12,2
2022,1,2,Data Architect,144854,55,2,48,1
2022,1,2,Data Science Manager,152500,55,2,48,1
2021,2,2,Applied Machine Learning Scientist,38400,56,2,48,1
2022,1,2,Data Engineer,65438,20,0,18,1
2022,1,2,Data Scientist,99360,55,2,48,1
2022,1,2,Data Scientist,150000,55,2,48,1
2021,2,2,Data Architect,180000,55,2,48,2
2021,3,2,Director of Data Science,153667,30,2,40,2
2021,2,2,Data Scientist,147000,55,1,48,2
2022,1,2,Data Scientist,140000,55,2,48,1
2021,2,2,Data Analyst,135000,55,2,48,2
2022,1,2,Data Engineer,160080,55,2,48,1
2022,1,2,Data Scientist,170000,55,2,48,1
2021,1,2,Data Scientist,53192,19,1,17,2
2021,2,2,Lead Data Analyst,19609,27,2,25,2
2022,1,2,Data Scientist,211500,55,2,48,1
2020,0,2,Data Scientist,105000,55,2,48,0
2020,2,2,Data Analyst,8000,43,1,39,2
2021,0,2,Data Scientist,13400,54,2,47,2
2022,1,2,Data Analyst,90320,55,2,48,1
2021,1,2,Lead Data Analyst,170000,55,2,48,2
2022,0,2,Data Scientist,86703,3,1,3,1
2021,2,2,Data Science Engineer,40189,21,2,19,1
2022,2,2,Data Scientist,130000,55,2,48,1
2022,2,2,Data Scientist,45807,20,0,18,1
2020,2,2,Research Scientist,450000,55,0,48,1
2020,2,2,Data Scientist,79833,14,0,12,2
2022,0,2,Data Analyst,67000,8,0,6,1
2022,1,2,Data Engineer,130000,55,2,48,1
2022,1,2,Data Analyst,61300,8,2,6,1
2022,1,2,Data Engineer,132320,55,2,48,1
2022,1,2,Data Analyst,102100,55,2,48,1
2021,2,2,Data Engineer,72212,20,1,18,2
2020,1,2,Data Engineer,47899,21,1,19,2
2022,1,2,Data Engineer,154600,55,2,48,2
2021,2,2,Data Scientist,50000,39,2,36,2
2021,1,2,Data Analyst,80000,5,2,48,0
2022,1,2,Data Scientist,123000,55,2,48,1
2021,2,2,Data Engineer,66022,22,1,18,0
2020,0,2,Data Science Consultant,5707,27,1,25,1
2022,2,2,Head of Data,32974,17,2,15,0
2022,1,2,Data Scientist,140000,55,2,48,1
2021,2,2,Data Engineer,100000,55,2,48,2
2021,2,2,Research Scientist,69999,13,1,11,2
2021,0,2,Data Scientist,100000,55,2,48,1
2022,1,2,Data Engineer,130000,55,2,48,1
2022,1,2,Data Engineer,160000,55,0,48,2
2022,1,2,Applied Data Scientist,380000,55,2,48,2
2022,0,2,Data Engineer,45807,20,2,18,1
2022,1,2,Analytics Engineer,184700,55,0,48,1
2022,1,2,Principal Data Scientist,162674,14,2,12,1
2021,3,2,Director of Data Science,250000,55,0,48,2
2020,1,0,Computer Vision Engineer,60000,49,2,48,0
2022,1,2,Data Analyst,150000,55,2,48,1
2020,2,2,Data Scientist,76958,20,2,18,0
2021,1,2,Lead Data Engineer,276000,55,0,48,2
2021,1,2,Lead Data Engineer,160000,45,1,48,0
2021,1,2,Data Engineer,150000,55,2,48,1
2022,1,2,Data Engineer,54000,55,0,48,1
2022,2,2,AI Scientist,200000,27,2,48,2
2022,1,2,Data Scientist,230000,55,2,48,1
2022,2,2,Data Engineer,98158,20,2,18,1
2022,1,2,Data Analyst,99000,55,0,48,1
2022,1,2,Data Analyst,81666,55,0,48,1
2021,2,2,Machine Learning Engineer,88654,4,2,4,1
2022,1,2,Data Engineer,209100,55,2,48,2
2022,2,2,Data Engineer,65949,18,2,16,1
2021,1,2,Principal Data Scientist,173762,14,2,12,1
2022,2,2,Data Scientist,200000,55,2,48,1
2020,1,2,Data Scientist,91237,2,0,2,0
2021,1,2,Computer Vision Engineer,18907,7,0,5,1
2022,1,2,Data Scientist,180000,55,2,48,1
2022,1,2,Data Analyst,99000,55,0,48,1
2022,2,2,Data Scientist,65438,20,0,18,1
2021,0,2,Data Science Consultant,90000,55,2,48,0
2022,0,1,Data Scientist,100000,16,1,14,1
2021,1,2,Cloud Data Engineer,160000,7,2,48,0
2021,0,1,Data Analyst,10354,18,1,16,1
2022,2,2,Data Engineer,104702,20,2,18,1
2022,1,2,Data Scientist,220000,55,2,48,1
2021,2,2,Data Engineer,4000,29,2,27,1
2021,1,2,Data Scientist,135000,55,0,48,2
2022,1,2,Machine Learning Engineer,62651,40,2,37,2
2021,1,2,Data Engineer,96282,20,1,18,2
2021,2,2,Data Scientist,25532,48,2,12,0
2021,2,2,Data Scientist,115000,55,1,48,2
2022,1,2,Data Engineer,80000,55,2,48,1
2022,1,2,Data Scientist,123000,55,2,48,1
2022,1,2,Data Scientist,205300,55,0,48,1
2022,2,2,Data Scientist,48000,49,2,48,0
2021,2,2,Data Engineer,45391,40,2,37,2
2021,1,2,Research Scientist,50000,19,2,48,0
2021,1,2,Data Science Manager,240000,55,0,48,2
2022,1,2,Data Engineer,93700,55,2,48,1
2020,2,2,Data Scientist,35735,25,1,22,2
2022,1,2,Data Analyst,135000,55,2,48,1
2020,2,2,Lead Data Engineer,56000,46,2,48,1
2021,0,2,Data Analyst,60000,55,2,48,0
2022,1,2,Data Scientist,210000,55,2,48,1
2020,2,2,Data Scientist,38776,18,2,16,1
2022,1,2,Data Scientist,146000,55,2,48,1
2022,1,2,Data Engineer,209100,55,2,48,2
2022,1,2,Lead Machine Learning Engineer,87932,14,0,12,1
2022,1,2,Data Analyst,130000,8,2,6,1
2022,1,2,Data Engineer,220110,55,2,48,1
2020,2,2,Data Engineer,70139,19,1,17,2
2022,2,2,Data Engineer,98158,20,0,18,1
2020,3,2,Director of Data Science,325000,55,2,48,2
2022,0,2,ML Engineer,21983,46,2,41,2
2021,2,2,Machine Learning Engineer,46597,44,2,40,2
2022,1,2,Data Science Manager,161342,55,2,48,1
2022,1,2,Data Scientist,136620,55,2,48,1
2020,2,2,Machine Learning Infrastructure Engineer,50180,46,0,41,1
2022,2,2,Data Science Manager,159000,55,2,48,1
2022,1,2,Applied Data Scientist,177000,55,2,48,2
2022,3,2,Lead Data Engineer,118187,8,2,6,0
2021,1,2,Data Scientist,20171,53,1,46,2
2022,1,2,Data Analyst,93700,55,2,48,1
2022,1,2,Data Analyst,115934,55,0,48,1
2022,2,2,Research Scientist,64849,2,0,2,2
2021,1,2,Data Science Manager,144000,55,2,48,2
2021,1,2,Machine Learning Scientist,120000,55,1,48,0
2022,2,2,Data Scientist,39263,20,0,18,1
2022,1,2,Data Engineer,108800,55,0,48,1
2022,3,2,Director of Data Science,196979,8,1,6,2
2021,1,2,Research Scientist,60757,46,1,41,2
2020,0,2,Big Data Engineer,70000,55,2,48,2
2021,0,1,AI Scientist,12000,43,2,48,1
2020,2,2,BI Data Analyst,98000,55,0,48,1
2021,1,2,Principal Data Scientist,235000,55,2,48,2
2022,1,2,Data Analyst,90320,55,2,48,1
2020,0,2,Data Scientist,49268,14,0,12,0
2020,2,2,Data Scientist,118000,55,2,48,1
2022,1,2,Data Analytics Manager,150260,55,2,48,1
2021,2,2,Data Scientist,33808,27,0,25,1
2020,1,2,Big Data Engineer,114047,44,2,18,0
2022,1,2,Data Scientist,117789,20,0,18,1
2021,1,2,Big Data Architect,99703,8,1,6,1
2022,1,2,Data Scientist,167000,55,2,48,1
2022,1,2,Data Analyst,126500,55,2,48,1
2021,1,2,Data Science Manager,152000,55,2,17,2
2022,1,2,Data Engineer,220110,55,0,48,1
2022,1,2,Machine Learning Engineer,192600,55,2,48,1
2021,0,2,Data Science Consultant,76833,14,0,12,2
2021,0,2,Data Scientist,29751,27,1,25,2
2021,2,2,Big Data Engineer,22611,27,0,25,2
2022,1,2,Data Engineer,165400,55,2,48,1
2022,1,2,Data Analyst,90320,55,2,48,1
2022,2,2,Data Engineer,78526,20,2,18,1
2020,0,2,Data Analyst,72000,55,2,48,2
2020,0,1,ML Engineer,15966,14,2,12,0
2022,1,2,Data Engineer,155000,55,2,48,1
2022,1,2,Data Analyst,90320,55,2,48,1
2022,1,2,Data Engineer,155000,55,2,48,1
2020,0,2,Data Engineer,41689,32,2,29,0
2020,2,2,Data Scientist,105000,55,2,48,2
2022,2,2,Data Analyst,45807,20,0,18,1
2022,1,2,Data Scientist,100000,7,2,48,1
2020,2,2,Product Data Analyst,20000,23,0,20,0
2022,2,2,Data Analyst,115500,55,2,48,1
2022,1,2,Data Scientist,215300,55,0,48,2
2022,1,2,Data Engineer,70500,55,0,48,1
2022,1,2,Machine Learning Engineer,164996,55,0,48,1
2022,0,2,Data Engineer,52351,20,2,18,1
2021,3,3,Principal Data Scientist,416000,55,2,48,0
2020,0,2,Research Scientist,42000,40,1,37,2
2022,1,2,Head of Data,200000,38,2,48,1
2021,1,2,Machine Learning Engineer,66265,27,0,25,2
2020,0,2,Data Analyst,6072,27,0,25,0
2021,1,2,Data Analyst,71786,8,2,6,1
2020,0,2,Machine Learning Engineer,250000,55,1,48,2
2021,2,2,Applied Machine Learning Scientist,423000,55,1,48,2
2021,2,2,Data Scientist,46809,18,2,16,1
2022,1,2,Data Analyst,106260,55,2,48,1
2021,1,2,Data Engineering Manager,174000,55,2,48,2
2022,2,2,Applied Machine Learning Scientist,75000,6,2,48,2
2022,1,2,Data Engineer,78526,20,0,18,1
2021,1,2,Research Scientist,96113,8,1,6,2
2022,2,2,Business Data Analyst,70912,8,1,6,2
2022,1,2,Data Analyst,170000,55,2,48,1
2022,1,2,Data Analyst,110925,55,2,48,1
2022,2,2,Data Engineer,68147,19,2,17,1
2020,1,2,Data Science Manager,190200,55,2,48,1
2022,1,2,Data Engineer,160080,55,0,48,1
2021,0,2,BI Data Analyst,55000,55,1,48,0
2022,2,2,Applied Data Scientist,157000,55,2,48,2
2021,2,2,Data Engineer,28369,36,1,33,2
2022,3,2,Data Engineer,242000,55,2,48,1
2021,1,2,Data Science Manager,174000,55,2,48,2
2021,2,2,Data Scientist,75774,8,2,6,2
2022,1,2,Machine Learning Engineer,189650,55,0,48,1
2022,1,2,Data Engineer,128875,55,2,48,1
2022,2,2,Data Analyst,75000,8,0,6,1
2022,2,2,Data Analyst,167000,55,2,48,1
2021,2,2,Data Analyst,62000,55,0,48,2
2022,2,2,Machine Learning Engineer,87932,19,2,12,1
2021,3,2,Head of Data,235000,55,2,48,2
2022,1,2,Data Scientist,140400,55,0,48,2
2022,1,2,Data Analyst,105000,55,2,48,1
2021,2,2,Data Engineer,200000,55,2,48,2
2022,1,2,Machine Learning Engineer,120000,0,2,0,0
2022,2,2,Data Engineer,58894,20,2,18,1
2022,2,0,Data Scientist,100000,8,2,48,1
2021,1,2,Data Engineer,165000,55,0,48,1
2022,1,2,Data Analyst,135000,55,2,48,1
2022,1,2,Data Scientist,150000,55,0,48,1
2022,3,2,Analytics Engineer,175000,55,2,48,1
2022,1,2,Data Scientist,180000,55,0,48,1
2020,2,2,Business Data Analyst,135000,55,2,48,2
2022,1,2,Data Analyst,128875,55,2,48,1
2020,2,2,Data Science Consultant,103000,55,2,48,2
2021,0,2,Data Scientist,80000,55,2,48,1
2021,0,2,Data Scientist,28399,27,2,25,1
2022,1,2,Data Scientist,123000,55,2,48,1
2022,1,2,Data Analytics Manager,105400,55,2,48,1
2020,2,2,Data Scientist,138350,55,2,48,1
2021,1,2,Director of Data Engineering,113476,20,2,18,1
2022,2,2,Data Analyst,58000,55,0,48,0
2022,2,2,Data Engineer,82900,55,0,48,1
2021,2,2,Data Scientist,16904,27,2,25,0
2022,0,2,Data Scientist,52396,8,2,6,2
2022,1,2,Data Analyst,84900,55,2,48,1
2021,1,2,Director of Data Science,168000,32,0,29,0
2021,2,2,Data Engineer,93150,55,0,48,1
2022,2,2,Data Scientist,135000,55,2,48,2
2022,1,2,Data Analyst,112900,55,2,48,1
2020,0,2,Data Analyst,10000,39,2,36,0
2022,2,2,Data Engineer,87932,21,2,19,1
